10006	ACF INDS INC	1926	10820	1432
10006	ACF INDS INC	1927	10820	1432
10006	ACF INDS INC	1928	10820	1432
10006	ACF INDS INC	1929	10820	1432
10006	ACF INDS INC	1930	10820	1432
10006	ACF INDS INC	1931	10820	1432
10006	ACF INDS INC	1932	10820	1432
10006	ACF INDS INC	1934	10820	1432
10006	ACF INDS INC	1935	10820	1432
10006	ACF INDS INC	1936	10820	1432
10006	ACF INDS INC	1937	10820	1432
10006	ACF INDS INC	1938	10820	1432
10006	ACF INDS INC	1939	10820	1432
10006	ACF INDS INC	1940	10820	1432
10006	ACF INDS INC	1941	10820	1432
10006	ACF INDS INC	1942	10820	1432
10006	ACF INDS INC	1943	10820	1432
10006	ACF INDS INC	1944	10820	1432
10006	ACF INDS INC	1945	10820	1432
10006	ACF INDS INC	1946	10820	1432
10006	ACF INDS INC	1948	10820	1432
10006	ACF INDS INC	1949	10820	1432
10006	ACF INDS INC	1950	10820	1432
10006	ACF INDS INC	1951	10820	1432
10006	ACF INDS INC	1952	10820	1432
10006	ACF INDS INC	1953	10820	1432
10006	ACF INDS INC	1955	10820	1432
10006	ACF INDS INC	1956	10820	1432
10006	ACF INDS INC	1957	10820	1432
10006	ACF INDS INC	1959	10820	1432
10006	ACF INDS INC	1960	10820	1432
10006	ACF INDS INC	1961	10820	1432
10006	ACF INDS INC	1962	10820	1432
10006	ACF INDS INC	1963	10820	1432
